Tunnel 1300.33 0 -1254.79  -0.45507
Pylon 443.549 0 -1834.61 0 0 0  50 0.7945
Pylon 443.549 0 -1795.03 0 0 0  50 0.8728
Pylon 450.147 0 -1755.44 0 0 0  50 0.7681
Pylon 469.939 0 -1729.05 0 0 0  50 0.7129
Pylon 502.927 0 -1696.06 0 0 0  50 0.9274
Pylon 535.915 0 -1656.48 0 0 0  50 0.7492
Pylon 595.292 0 -1379.38 0 0 0  50 0.8731
Pylon 100.477 0 -943.945 0 0 0  50 0.7606
Pylon 27.9041 0 -924.152 0 0 0  50 0.7348
Pylon 14.709 0 -897.762 0 0 0  50 0.709
Pylon -24.8762 0 -877.969 0 0 0  50 0.7978
Pylon -57.8639 0 -851.579 0 0 0  50 0.7033
Pylon -104.047 0 -825.189 0 0 0  50 0.9313
Pylon -189.815 0 -818.591 0 0 0  50 0.8233
Pylon -150.229 0 -831.787 0 0 0  50 0.8641
Pylon -222.802 0 -838.384 0 0 0  50 0.7459
Pylon -268.985 0 -844.982 0 0 0  50 0.856
Pylon -328.363 0 -858.177 0 0 0  50 0.937
Pylon -354.753 0 -884.567 0 0 0  50 0.9772
Pylon -367.948 0 -917.555 0 0 0  50 0.7564
Pylon -400.936 0 -943.945 0 0 0  50 0.9289
Pylon -414.131 0 -976.932 0 0 0  50 0.982
Pylon -427.326 0 -1016.52 0 0 0  50 0.9553
Pylon -433.924 0 -1056.1 0 0 0  50 0.8986
Pylon -440.521 0 -1075.9 0 0 0  50 0.9487
Pylon -460.314 0 -1128.68 0 0 0  50 0.97
Pylon -473.509 0 -1155.07 0 0 0  50 0.9139
Pylon -493.302 0 -1168.26 0 0 0  50 0.9874
Pylon -750.606 0 -1451.96 0 0 0  50 0.8734
Pylon -684.63 0 -1412.37 0 0 0  50 0.8095
Pylon -645.045 0 -1372.78 0 0 0  50 0.7021
Pylon -612.057 0 -1352.99 0 0 0  50 0.8431
Pylon -572.472 0 -1320 0 0 0  50 0.76
Pylon -539.484 0 -1280.42 0 0 0  50 0.7174
Pylon -519.692 0 -1240.83 0 0 0  50 0.8317
Pylon -506.497 0 -1207.85 0 0 0  50 0.7909
Pylon -493.302 0 -1174.86 0 0 0  50 0.928
Pylon -717.618 0 -1438.76 0 0 0  50 0.8071
Pylon 54.2943 0 -1201.25 0 0 0  50 0.9661
Pylon 8.11148 0 -1214.44 0 0 0  50 0.9403
Pylon -31.4738 0 -1234.24 0 0 0  50 0.955
Pylon -57.8639 0 -1254.03 0 0 0  50 0.838
Pylon -84.2541 0 -1267.22 0 0 0  50 0.8284
Pylon -117.242 0 -1280.42 0 0 0  50 0.9979
Pylon -156.827 0 -1320 0 0 0  50 0.8152
Pylon -203.01 0 -1352.99 0 0 0  50 0.8215
Pylon -242.595 0 -1372.78 0 0 0  50 0.862
Pylon -275.583 0 -1392.58 0 0 0  50 0.7333
Pylon -328.363 0 -1418.97 0 0 0  50 0.9112
Pylon -367.948 0 -1438.76 0 0 0  50 0.9505
Pylon -394.338 0 -1458.55 0 0 0  50 0.8068
Pylon -499.899 0 -2012.75 0 0 0  50 0.7216
Pylon -645.045 0 -1643.28 0 0 0  50 0.805
Pylon -625.252 0 -1636.69 0 0 0  50 0.9469
Pylon -605.46 0 -1610.3 0 0 0  50 0.8455
Pylon -579.07 0 -1597.1 0 0 0  50 0.8668
Pylon -559.277 0 -1583.91 0 0 0  50 0.7648
Pylon -526.289 0 -1564.11 0 0 0  50 0.8878
Pylon -499.899 0 -1537.72 0 0 0  50 0.8071
Pylon -440.521 0 -1498.14 0 0 0  50 0.8578
Pylon -466.911 0 -1511.33 0 0 0  50 0.8071
Pylon -420.729 0 -1478.35 0 0 0  50 0.8011
Pylon 857.895 0 -812.581 0 0 0  50 0.7813
Pylon 884.689 0 -823.299 0 0 0  50 0.9607
Pylon 911.484 0 -828.658 0 0 0  50 0.8083
Pylon 938.278 0 -839.376 0 0 0  50 0.9688
Pylon 1404.65 0 -783.026 0 0 0  50 0.7066
Pylon 1398.06 0 -750.039 0 0 0  50 0.8851
Pylon 1312.29 0 -670.868 0 0 0  50 0.7336
Pylon 1259.51 0 -657.673 0 0 0  50 0.9151
Pylon 1398.06 0 -954.562 0 0 0  50 0.9088
Pylon 1140.75 0 -802.819 0 0 0  50 0.8755
Pylon 1173.74 0 -835.807 0 0 0  50 0.7123
Pylon 1186.93 0 -875.392 0 0 0  50 0.8269
Tunnel -976.436 0 -1108.39  0
Tunnel -435.438 0 -2309.14  0
Tunnel 475.023 0 -2124.41  -20.6182
Pylon 809.346 0 618.162 0 0 0  50 0.7123
Pylon 771.109 0 592.671 0 0 0  50 0.8401
Pylon 745.618 0 560.807 0 0 0  50 0.8002
Pylon 701.008 0 503.451 0 0 0  50 0.85
Pylon 688.263 0 446.096 0 0 0  50 0.7507
Pylon 694.636 0 407.859 0 0 0  50 0.9172
Pylon 707.381 0 331.386 0 0 0  50 0.8434
Pylon 726.5 0 261.285 0 0 0  50 0.8074
Pylon 777.482 0 210.303 0 0 0  50 0.9886
Pylon 815.719 0 178.438 0 0 0  50 0.8392
Pylon 873.074 0 140.202 0 0 0  50 0.9115
Pylon 943.175 0 114.71 0 0 0  50 0.7435
Pylon 994.157 0 101.965 0 0 0  50 0.7843
Pylon 904.938 0 114.71 0 0 0  50 0.9481
Pylon 841.21 0 152.947 0 0 0  50 0.9883
Pylon 751.991 0 223.048 0 0 0  50 0.8473
Pylon 701.008 0 299.522 0 0 0  50 0.9985
Pylon 681.89 0 350.504 0 0 0  50 0.9826
Pylon 1026.02 0 95.592 0 0 0  50 0.9481
Pylon 1070.63 0 114.71 0 0 0  50 0.8308
Pylon 1115.24 0 127.456 0 0 0  50 0.8173
Pylon 1153.48 0 146.574 0 0 0  50 0.8812
Pylon 1185.34 0 172.066 0 0 0  50 0.9706
Pylon 1210.83 0 197.557 0 0 0  50 0.7459
Pylon 1229.95 0 229.421 0 0 0  50 0.7876
Pylon 1236.32 0 254.912 0 0 0  50 0.8146
Pylon 1249.07 0 305.895 0 0 0  50 0.8263
Pylon 1255.44 0 363.25 0 0 0  50 0.9148
Pylon 1255.44 0 401.487 0 0 0  50 0.9154
Pylon 1242.7 0 433.351 0 0 0  50 0.9685
Pylon 1229.95 0 465.215 0 0 0  50 0.8341
Pylon 1191.71 0 503.451 0 0 0  50 0.9178
Pylon 1166.22 0 541.688 0 0 0  50 0.9313
Pylon 1140.73 0 567.179 0 0 0  50 0.8614
Pylon 1115.24 0 592.671 0 0 0  50 0.9607
Pylon 1089.75 0 611.789 0 0 0  50 0.9736
Pylon 1051.51 0 624.535 0 0 0  50 0.9001
Pylon 1019.65 0 643.653 0 0 0  50 0.7897
Pylon 968.666 0 650.026 0 0 0  50 0.7105
Pylon 917.684 0 643.653 0 0 0  50 0.9682
Pylon 853.956 0 650.026 0 0 0  50 0.9109
Pylon 828.464 0 624.535 0 0 0  50 0.9433
Pylon 879.447 0 637.28 0 0 0  50 0.7966
Pylon 873.074 0 414.232 0 0 0  50 0.7999
Pylon 853.956 0 369.623 0 0 0  50 0.9019
Pylon 860.328 0 337.759 0 0 0  50 0.8992
Pylon 879.447 0 299.522 0 0 0  50 0.7423
Pylon 911.311 0 267.658 0 0 0  50 0.9133
Pylon 955.92 0 267.658 0 0 0  50 0.7759
Pylon 994.157 0 254.912 0 0 0  50 0.9604
Pylon 1019.65 0 254.912 0 0 0  50 0.8641
Pylon 1057.89 0 274.031 0 0 0  50 0.8932
Pylon 1070.63 0 299.522 0 0 0  50 0.8986
Pylon 1077 0 337.759 0 0 0  50 0.9271
Pylon 1064.26 0 375.995 0 0 0  50 0.7111
Pylon 1032.39 0 407.859 0 0 0  50 0.9577
Pylon 1000.53 0 439.723 0 0 0  50 0.9169
Pylon 955.92 0 446.096 0 0 0  50 0.9223
Pylon 898.565 0 433.351 0 0 0  50 0.8587
Pylon 930.429 0 439.723 0 0 0  50 0.9334
RoboticCar 1155.46 0 410.653 -44.4437 0 89.581  5000 -47906.7 true car2
RoboticCar 976.319 0 176.251 99.731 0 -7.32984  5000 -47426.2 true car3
Tunnel 470 0 -730  89.1186
RoboticCar 481.965 0 -2144.37 -43.4793 0 90.053  5000 1054.23 true car1
RoboticCar 551.486 0 -2854.62 -97.5698 0 -21.9118  5000 977.343 true car4
RoboticCar -954.282 0 -1453.58 -51.9881 0 85.4239  5000 1049.37 true car5
RoboticCar -983.54 0 -853.022 -3.67058 0 99.9326  5000 1077.9 true car6
RoboticCar 1207.05 0 -737.394 96.095 0 -27.6721  5000 826.762 true car7
RoboticCar -8.37544 0 -399.692 -2.56348 0 -99.9671  5000 901.469 true car8
RoboticCar -358.304 0 -1952.57 84.2657 0 53.845  5000 1138.22 true car9
RoboticCar -311.926 0 -1207.71 -57.8261 0 -81.5852  5000 935.69 true car10
RoboticCar -424.779 0 -2594.64 -25.5215 0 96.6884  5000 1065.58 true car11
RoboticCar 1293.76 0 -1315.59 0.410859 0 -99.9992  5000 899.765 true car12
RoboticCar 1153.5 0 -2608.4 -82.4015 0 -56.6568  5000 955.489 true car13
RoboticCar 336.903 31.1654 -1230.71 -80.0701 0 59.9065  5000 1026.8 true car14
RoboticCar -365.057 0 99.6388 87.6297 0 48.1771  5000 781.199 true car15
Ramp 370 0 -1260 0 0 0  150000 -50.371
Pylon 475.023 0 -1543.82 0 0 0  50 0.7123
Pylon 499.998 0 -1527.77 0 0 0  50 0.8401
Pylon 510.716 0 -1506.34 0 0 0  50 0.8002
Pylon 505.357 0 -1479.54 0 0 0  50 0.85
Pylon 494.64 0 -1458.11 0 0 0  50 0.7507
Pylon 591.099 0 -1600.12 0 0 0  50 0.9172
Pylon 604.496 0 -1584.04 0 0 0  50 0.8434
Pylon 615.214 0 -1562.61 0 0 0  50 0.8074
Pylon 623.252 0 -1538.49 0 0 0  50 0.9886
Pylon 625.932 0 -1498.3 0 0 0  50 0.8392
Pylon 627.425 0 -1466.63 0 0 0  50 0.9115
Pylon 624.837 0 -1432.98 0 0 0  50 0.7435
Pylon 619.66 0 -1407.1 0 0 0  50 0.7843
Pylon 557.544 0 -1640.04 0 0 0  50 0.9481
Pylon 578.25 0 -1627.1 0 0 0  50 0.9883
Pylon 81.3224 0 -1187.11 0 0 0  50 0.8473
Pylon 117.557 0 -1181.93 0 0 0  50 0.9985
Pylon 153.791 0 -1184.52 0 0 0  50 0.9826
Pylon 254.729 0 -1065.46 0 0 0  50 0.9481
Pylon 234.024 0 -1042.17 0 0 0  50 0.8308
Pylon 210.731 0 -1018.88 0 0 0  50 0.8173
Pylon 187.437 0 -1005.94 0 0 0  50 0.8812
Pylon 153.791 0 -987.819 0 0 0  50 0.9706
Pylon 122.733 0 -977.467 0 0 0  50 0.7459
RoboticCar -964.264 0 -571.515 19.6359 0 98.0532  5000 731.324 true car16
RoboticCar 985.263 0 -2260.4 -0 0 -0  5000 187.094 false mainCar
